Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,591.95","2,592.12","2,546.94","2,558.35",-35.92,-1.38,"4,773,857,657.45"
Sensitive Index,457.67,457.74,450.01,451.66,-6.00,-1.31,"1,614,178,174.72"
Float Index,177.81,177.83,174.64,175.43,-2.61,-1.47,"4,693,373,201.62"
Sensitive Float Index,154.60,154.63,151.91,152.51,-2.09,-1.35,"1,614,178,174.72"
Banking SubIndex,"1,437.39","1,437.39","1,422.66","1,426.46",-10.66,-0.74,"366,720,439.80"
Development Bank Index,"5,461.01","5,461.01","5,384.72","5,414.46",-45.94,-0.84,"260,047,959.50"
Finance Index,"2,276.89","2,284.41","2,230.95","2,253.76",-25.23,-1.10,"125,055,741.30"
Hotels And Tourism,"7,162.44","7,162.44","7,051.52","7,123.35",-39.09,-0.54,"88,787,568.70"
HydroPower Index,"3,647.80","3,649.09","3,522.96","3,561.28",-104.33,-2.84,"2,831,835,729.40"
Investment,95.04,95.04,93.60,93.80,-1.24,-1.31,"129,344,156.40"
Life Insurance,"11,488.28","11,494.33","11,224.21","11,313.14",-175.13,-1.52,"125,661,767.70"
Manufacturing And Processing,"10,282.14","10,316.07","10,187.13","10,233.82",-41.44,-0.40,"332,877,687.50"
Microfinance Index,"4,447.33","4,464.42","4,393.17","4,412.62",-40.70,-0.91,"152,445,301.50"
Mutual Fund,20.43,20.43,20.28,20.31,-0.12,-0.61,"16,767,824.44"
Non Life Insurance,"10,339.65","10,339.65","9,890.97","9,935.59",-404.05,-3.90,"161,653,461.22"
Others Index,"1,885.35","1,887.14","1,851.41","1,858.18",-27.16,-1.44,"116,653,566.60"
Trading Index,"3,217.98","3,272.27","3,202.27","3,216.43",-1.55,-0.04,"2,289,822.00"
