rank,symbol,company_name,turnover,ltp
1,CHCL,Chilime Hydro power Company Limited,205686862.60,427.00
2,TAMOR,Sanima Middle Tamor Hydropower Limited,193282109.80,480.00
3,SAHAS,Sahas Urja Limited,161366948.30,681.90
4,SOHL,Solu Hydropower Limited,158312970.50,663.90
5,RIDI,Ridi Power Company Limited,120287283.30,343.00
6,RHPL,Rasuwagadhi Hydropower Company Limited,118824706.80,205.20
7,AKJCL,Ankhukhola Hydropower Company Limited,92353559.10,338.00
8,SMHL,Super Madi Hydropower Limited,89253483.80,518.00
9,NHPC,National Hydro Power Company Limited,83411632.00,250.00
10,NGPL,Ngadi Group Power Limited,71590913.50,396.90
11,SHPC,Sanima Mai Hydropower Limited,71582928.80,499.00
12,RSML,Reliance Spinning Mills Limited,67542662.90,2706.00
13,SHIVM,Shivam Cements Limited,66863149.80,624.00
14,RADHI,Radhi Bidyut Company Limited,65529541.00,688.00
15,JBBL,Jyoti Bikash Bank Limited,62267455.70,332.00
