rank,symbol,company_name,close,change,change_percent
1,SAPIL,Sarvottam Paints Industries Limited,1212.90,158.20,15.00
2,UHEWA,Upper Hewakhola Hydropower Company Limited,667.00,63.00,10.43
3,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1129.80,64.80,6.08
4,CZBILP,Citizens Bank International Limited Promoter Share,109.00,6.00,5.83
5,NABILD2089,7% Nabil Debenture 2089,1087.90,57.90,5.62
6,MMF1,Mega Mutual Fund - 1,9.07,0.37,4.25
7,ECL,Everest Colour Limited,1465.00,59.00,4.20
8,KHPL,Kalinchowk Hydropower Limited,803.00,25.00,3.21
9,SPL,Shuvam Power Limited,648.90,18.90,3.00
10,NICBF,NIC ASIA Balanced Fund,9.30,0.27,2.99
11,MANDU,Mandu Hydropower Limited,732.40,21.20,2.98
12,LUK,Laxmi Unnati Kosh,9.83,0.28,2.93
13,MFLD85,9.5%  Manjushree Finance Ltd. Debenture 2085,1105.00,29.10,2.70
14,SHINED,Shine Resunga Debenture,1125.00,25.00,2.27
15,SEF,Siddhartha Equity Fund,9.49,0.21,2.26
