rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,251081110.85,432298294.10,683379404.95,-181217183.25000003,49260980.60
2,45,Imperial Securities Co. Limited,208712324.70,206182954.62,414895279.32,2529370.0799999833,30287809.20
3,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,186175155.40,202042820.50,388217975.90,-15867665.099999994,146728349.40
4,42,Sani Securities Company Limited,184734537.82,189024028.80,373758566.62,-4289490.980000019,17350047.00
5,48,Trishakti Securities Public Limited,236258124.40,104506277.70,340764402.10,131751846.7,31209312.00
6,34,Vision Securities Pvt.Limited,190292350.60,138590019.50,328882370.10,51702331.099999994,11599957.00
7,49,Online Securities Limited,132597109.00,165642989.05,298240098.05,-33045880.050000012,5427606.00
8,44,Dynamic Money Managers Securities Pvt.Ltd,100282088.90,193712777.00,293994865.90,-93430688.1,10771335.00
9,17,ABC Securities Pvt. Limited,141412784.15,122881074.20,264293858.35,18531709.950000003,6883981.40
10,57,Arya Tara Investment And Securities Pvt. Ltd.,133062272.40,103441338.40,236503610.80,29620934.0,4059525.40
11,4,Stock Broker Opal Securities Investment Pvt. Limited,68310809.80,163355609.00,231666418.80,-95044799.2,8432377.20
12,14,Nepal Stock House Pvt. Limited,109612337.60,100797065.30,210409402.90,8815272.299999997,4053300.60
13,74,KALASH STOCK MARKET PVT. LTD.,75986636.90,113545991.40,189532628.30,-37559354.5,4577757.80
14,32,Premier Securites Company Limited,109201276.00,71762563.10,180963839.10,37438712.900000006,3028994.80
15,35,Kohinoor Investment and Securities Pvt.Ltd,89860009.60,72938940.90,162798950.50,16921068.699999988,3583455.40
