rank,symbol,company_name,transactions,ltp
1,CHCL,Chilime Hydro power Company Limited,3058,427.00
2,MEPDL,Mount Everest Power Development Limited,2193,666.00
3,RHPL,Rasuwagadhi Hydropower Company Limited,2131,205.20
4,SGHL,Sanigad Hydro Limited,1355,492.00
5,SOHL,Solu Hydropower Limited,1118,663.90
6,SAHAS,Sahas Urja Limited,913,681.90
7,SJCL,Sanjen Jalavidhyut Company Limited,891,231.90
8,NHPC,National Hydro Power Company Limited,887,250.00
9,RIDI,Ridi Power Company Limited,827,343.00
10,SMHL,Super Madi Hydropower Limited,805,518.00
11,HRL,Himalayan Reinsurance Limited,787,549.00
12,KAHL,Kalanga Hydro Limited,777,490.80
13,AKJCL,Ankhukhola Hydropower Company Limited,717,338.00
14,UPPER,Upper Tamakoshi Hydropower Limited,633,184.50
15,SOPL,Sopan Pharmaceuticals Limited,627,729.00
