rank,symbol,company_name,volume,ltp
1,RHPL,Rasuwagadhi Hydropower Company Limited,571997.00,205.20
2,CHCL,Chilime Hydro power Company Limited,480553.00,427.00
3,TAMOR,Sanima Middle Tamor Hydropower Limited,406065.00,480.00
4,PRSF,Prabhu Smart Fund,349498.00,12.60
5,RIDI,Ridi Power Company Limited,348571.00,343.00
6,NHPC,National Hydro Power Company Limited,329656.00,250.00
7,PCBLP,Prime Commercial Bank Limited Promoter Share,308120.00,105.00
8,SIGS3,Siddhartha Investment Growth Scheme 3,275800.00,10.85
9,AKJCL,Ankhukhola Hydropower Company Limited,270728.00,338.00
10,HDHPC,Himal Dolakha Hydropower Company Limited,239107.00,199.90
11,SOHL,Solu Hydropower Limited,238817.00,663.90
12,SAHAS,Sahas Urja Limited,238492.00,681.90
13,SJCL,Sanjen Jalavidhyut Company Limited,230441.00,231.90
14,SFEF,Sunrise Focused Equity Fund,213800.00,9.63
15,PSF,Prabhu Select Fund,203445.00,12.10
