label,value
Total Turnovers (Rs.),"4,773,857,657.46"
Total Traded Shares,"13,582,320"
Total Transaction,"61,442"
Total Scrips Traded,348
Total Market Cap (Rs.),"4,400,705.82 Millions"
Floated Market Cap (Rs.),"1,483,419.40 Millions"
