label,value
Total Turnovers (Rs.),"3,759,722,340.76"
Total Traded Shares,"8,851,216"
Total Transaction,"46,752"
Total Scrips Traded,337
Total Market Cap (Rs.),"4,615,286.47 Millions"
Floated Market Cap (Rs.),"1,559,710.30 Millions"
