rank,symbol,company_name,volume,ltp
1,GBIME,Global IME Bank Limited,588735.00,262.00
2,RIDI,Ridi Power Company Limited,469740.00,370.00
3,GBIMEP,Global IME Bank Limited Promoter Share,386068.00,104.70
4,KBL,Kumari Bank Limited,282557.00,225.00
5,AKJCL,Ankhukhola Hydropower Company Limited,223712.00,366.00
6,CFCL,Central Finance Limited,223631.00,662.00
7,SOHL,Solu Hydropower Limited,179906.00,583.90
8,SBL,Siddhartha Bank Limited,178151.00,414.40
9,HPPL,Himalayan Power Partner Limited,172178.00,383.00
10,NHPC,National Hydro Power Company Limited,164645.00,269.40
11,CZBILP,Citizens Bank International Limited Promoter Share,150000.00,100.00
12,NGPL,Ngadi Group Power Limited,148643.00,408.10
13,ADBL,Agricultural Development Bank Limited,147317.00,322.50
14,NIMB,Nepal Investment Mega Bank Limited,140620.00,199.70
15,KKHC,Khani Khola Hydropower Company Limited,133825.00,291.40
