rank,symbol,company_name,close,change,change_percent
1,GBIMEP,Global IME Bank Limited Promoter Share,104.70,-6.70,-6.01
2,CZBILP,Citizens Bank International Limited Promoter Share,100.00,-5.80,-5.48
3,BNT,Bottlers Nepal (Terai) Limited,11000.50,-619.50,-5.33
4,KHPL,Kalinchowk Hydropower Limited,870.00,-32.00,-3.55
5,CORBL,Corporate Development Bank Limited,1120.00,-35.00,-3.03
6,PBD84,10.15% Prime Debenture 2084,1067.00,-33.00,-3.00
7,GWFD83,12% Goodwill Finance Limited Debenture 2083,1089.70,-33.60,-2.99
8,NMB50,NMB 50,10.39,-0.30,-2.81
9,RBCL,Rastriya Beema Company Limited,14206.00,-394.00,-2.70
10,SIGS3,Siddhartha Investment Growth Scheme 3,10.42,-0.28,-2.62
11,LUK,Laxmi Unnati Kosh,10.20,-0.26,-2.49
12,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,1653.00,-37.00,-2.19
13,PBD88,10% Prime Debenture 2088,1156.00,-25.00,-2.12
14,VLUCL,Vision Lumbini Urja Company Limited,429.00,-9.00,-2.05
15,NICFC,NIC Asia Flexi Cap Fund,9.10,-0.18,-1.94
