rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,1309.30,170.70,14.99
2,LVF2,Laxmi Value Fund-II,9.86,0.73,8.00
3,JOSHI,Joshi Hydropower Development Company Limited,283.00,18.00,6.79
4,NIBLGF,NIBL Growth Fund,9.60,0.60,6.67
5,ULHC,Upper Lohore Khola Hydropower Company Limited,362.00,21.90,6.44
6,UPCL,Universal Power Company Limited,362.00,15.00,4.32
7,BHCL,Bikash Hydropower Company Limited,503.90,17.90,3.68
8,CSY,Citizens Santulit Yojana,9.34,0.32,3.55
9,SINDU,Sindhu Bikas Bank Limited,723.90,22.90,3.27
10,MSHL,Mid Solu Hydropower Company Limited,620.50,18.00,2.99
11,CKHL,Chirkhwa Hydro Power Limited,605.60,17.60,2.99
12,BHPL,Barahi Hydropower Public Limited,480.00,13.70,2.94
13,GLH,Greenlife Hydropower Limited,259.00,7.00,2.78
14,NHDL,Nepal Hydro Developer Limited,647.00,17.00,2.70
15,KBSH,Kutheli Bukhari Small Hydropower Limited,956.00,25.00,2.69
