rank,symbol,company_name,turnover,ltp
1,RIDI,Ridi Power Company Limited,172631722.60,370.00
2,GBIME,Global IME Bank Limited,153254623.40,262.00
3,CFCL,Central Finance Limited,148361078.60,662.00
4,RSML,Reliance Spinning Mills Limited,116021764.90,2999.00
5,CORBL,Corporate Development Bank Limited,108797854.00,1120.00
6,SOHL,Solu Hydropower Limited,104488334.30,583.90
7,AKJCL,Ankhukhola Hydropower Company Limited,81426269.80,366.00
8,NRN,NRN Infrastructure and Development Limited,77458096.10,1420.00
9,SBL,Siddhartha Bank Limited,73478111.90,414.40
10,HPPL,Himalayan Power Partner Limited,65429662.70,383.00
11,KBL,Kumari Bank Limited,62904226.30,225.00
12,NGPL,Ngadi Group Power Limited,60559664.40,408.10
13,SYPNL,SY Panel Nepal Limited,59284285.20,1350.00
14,CHDC,CEDB Holdings Limited,57586093.00,2221.90
15,UMHL,United Modi Hydropower Limited,55571232.20,581.00
