Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,665.75","2,692.23","2,653.23","2,685.54",12.96,0.48,"3,759,722,340.76"
Sensitive Index,466.82,470.86,465.07,470.13,2.44,0.52,"1,235,480,462.10"
Float Index,183.09,184.81,182.39,184.59,1.00,0.54,"3,680,578,912.79"
Sensitive Float Index,158.34,159.63,157.55,159.48,0.97,0.61,"1,235,480,462.10"
Banking SubIndex,"1,472.67","1,494.89","1,466.51","1,491.29",10.78,0.72,"578,971,455.40"
Development Bank Index,"5,635.85","5,687.85","5,607.50","5,676.15",27.36,0.48,"297,018,509.70"
Finance Index,"2,417.86","2,441.66","2,408.50","2,436.71",4.41,0.18,"261,578,610.60"
Hotels And Tourism,"7,271.30","7,373.56","7,271.30","7,369.43",35.27,0.48,"82,970,099.90"
HydroPower Index,"3,690.20","3,717.35","3,659.99","3,715.96",25.79,0.69,"1,557,216,140.40"
Investment,98.01,98.52,97.56,98.44,0.22,0.23,"161,230,253.10"
Life Insurance,"12,032.96","12,067.67","11,947.75","12,042.14",23.74,0.19,"100,503,837.80"
Manufacturing And Processing,"10,634.80","10,682.79","10,526.51","10,659.55",27.41,0.25,"388,831,834.00"
Microfinance Index,"4,590.05","4,610.52","4,563.60","4,610.43",11.06,0.24,"109,150,494.80"
Mutual Fund,21.06,21.11,20.96,21.11,0.05,0.25,"2,269,568.17"
Non Life Insurance,"10,768.16","10,789.12","10,627.27","10,749.96",-18.19,-0.16,"31,073,047.00"
Others Index,"1,934.42","2,013.48","1,929.33","1,966.42",18.18,0.93,"109,854,286.09"
Trading Index,"3,382.04","3,394.87","3,315.31","3,379.60",-2.43,-0.07,"2,180,344.00"
