rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,383910133.66,280654763.87,664564897.53,103255369.79000002,63247332.24
2,34,Vision Securities Pvt.Limited,136892647.00,174642199.90,311534846.90,-37749552.900000006,25917801.60
3,45,Imperial Securities Co .Pvt.Limited,109528238.90,155763306.40,265291545.30,-46235067.5,4215712.60
4,49,Online Securities Limited,147871622.35,108532214.90,256403837.25,39339407.44999999,12226248.20
5,42,Sani Securities Company Limited,133234952.80,118253600.40,251488553.20,14981352.399999991,5865729.80
6,77,Nabil Stock Dealer Limited,74721232.00,165693950.00,240415182.00,-90972718.0,5823780.00
7,48,Trishakti Securities Public Limited,105178329.20,99984856.00,205163185.20,5193473.200000003,7102596.80
8,35,Kohinoor Investment and Securities Pvt.Ltd,98374371.40,93480281.90,191854653.30,4894089.5,8370136.40
9,4,Stock Broker Opal Securities Investment Pvt. Limited,92744019.20,85639633.70,178383652.90,7104385.5,115196658.20
10,32,Premier Securites Company Limited,86804232.70,89060648.56,175864881.26,-2256415.8599999994,1556452.80
11,62,Capital Max Securities Limited,74122544.50,95454117.00,169576661.50,-21331572.5,24732040.00
12,44,Dynamic Money Managers Securities Pvt.Ltd,67656402.99,82647345.90,150303748.89,-14990942.910000011,7961977.80
13,41,Linch Stock Market Limited,70146821.40,75170308.20,145317129.60,-5023486.799999997,53025355.00
14,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,76623464.00,67431695.30,144055159.30,9191768.700000003,2542297.40
15,57,Arya Tara Investment And Securities Pvt. Ltd.,68310985.50,73447529.90,141758515.40,-5136544.400000006,2687173.80
