rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,2554,529.00
2,CORBL,Corporate Development Bank Limited,1659,1120.00
3,KAHL,Kalanga Hydro Limited,1569,544.00
4,ECL,Everest Colour Limited,1331,1309.30
5,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,990,548.90
6,GBIME,Global IME Bank Limited,989,262.00
7,SOPL,Sopan Pharmaceuticals Limited,960,827.00
8,SOHL,Solu Hydropower Limited,939,583.90
9,RIDI,Ridi Power Company Limited,824,370.00
10,RSML,Reliance Spinning Mills Limited,779,2999.00
11,YMHL,Yambaling Hydropower Limited,763,644.00
12,KBL,Kumari Bank Limited,665,225.00
13,PCIL,Palpa Cements Industries Limited,658,654.00
14,HRL,Himalayan Reinsurance Limited,612,603.00
15,KHPL,Kalinchowk Hydropower Limited,560,870.00
