rank,symbol,company_name,close,change,change_percent
1,ECL,Everest Colour Limited,990.10,129.10,14.99
2,SNORL,Snow Rivers Limited,971.40,45.40,4.90
3,NBF3,Nabil Balanced Fund III,10.09,0.38,3.91
4,KKHC,Khani Khola Hydropower Company Limited,295.00,10.30,3.62
5,HPPL,Himalayan Power Partner Limited,394.70,12.80,3.35
6,HLICF,HLI Large Cap Fund,8.69,0.28,3.33
7,GBIMESY2,Global IME Samunnat Yojana -II,9.39,0.28,3.07
8,RBBF40,RBB Focus 40,9.27,0.27,3.00
9,SAGF,Sanima Growth Fund,10.35,0.30,2.99
10,HEIP,Himalayan Everest Insurance Limited Promoter,341.90,9.90,2.98
11,SHINED,Shine Resunga Debenture,1109.00,29.90,2.77
12,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1243.10,30.60,2.52
13,EBLD85,10.5% Everest Bank Ltd Rinpatra 2085,1150.00,26.30,2.34
14,NMB50,NMB 50,10.59,0.24,2.32
15,MCHL,Menchhiyam Hydropower  Limited,283.30,6.20,2.24
