rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,2580,535.00
2,CORBL,Corporate Development Bank Limited,1830,1317.00
3,KKHC,Khani Khola Hydropower Company Limited,1709,295.00
4,KAHL,Kalanga Hydro Limited,1494,549.00
5,HPPL,Himalayan Power Partner Limited,1491,394.70
6,YMHL,Yambaling Hydropower Limited,1088,650.00
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,987,557.90
8,SOHL,Solu Hydropower Limited,958,593.70
9,SOPL,Sopan Pharmaceuticals Limited,864,835.00
10,SNORL,Snow Rivers Limited,856,971.40
11,RSML,Reliance Spinning Mills Limited,752,3117.00
12,GBIME,Global IME Bank Limited,737,256.90
13,PCIL,Palpa Cements Industries Limited,729,664.00
14,RIDI,Ridi Power Company Limited,643,369.90
15,HRL,Himalayan Reinsurance Limited,584,601.10
