rank,symbol,company_name,volume,ltp
1,KKHC,Khani Khola Hydropower Company Limited,720327.00,295.00
2,HPPL,Himalayan Power Partner Limited,573369.00,394.70
3,RIDI,Ridi Power Company Limited,389549.00,369.90
4,GBIME,Global IME Bank Limited,375124.00,256.90
5,KBL,Kumari Bank Limited,259969.00,221.00
6,CFCL,Central Finance Limited,258051.00,648.40
7,AKJCL,Ankhukhola Hydropower Company Limited,235655.00,365.00
8,LEC,Liberty Energy Company Limited,200185.00,226.90
9,PCBLP,Prime Commercial Bank Limited Promoter Share,200000.00,102.00
10,LSL,Laxmi Sunrise Bank Limited,191885.00,228.50
11,SGHC,Swet-Ganga Hydropower & Construction Limited,171460.00,324.80
12,KDBY,Kumari Dhanabriddhi Yojana,161350.00,11.16
13,PCBL,Prime Commercial Bank Limited,142194.00,241.90
14,CORBL,Corporate Development Bank Limited,137425.00,1317.00
15,NHPC,National Hydro Power Company Limited,131662.00,267.60
