rank,symbol,company_name,turnover,ltp
1,HPPL,Himalayan Power Partner Limited,224840282.90,394.70
2,KKHC,Khani Khola Hydropower Company Limited,211706112.90,295.00
3,RSML,Reliance Spinning Mills Limited,179134488.70,3117.00
4,CORBL,Corporate Development Bank Limited,177568441.30,1317.00
5,CFCL,Central Finance Limited,167322312.20,648.40
6,RIDI,Ridi Power Company Limited,144536072.30,369.90
7,NRN,NRN Infrastructure and Development Limited,127050942.40,1398.00
8,GBIME,Global IME Bank Limited,96646477.00,256.90
9,AKJCL,Ankhukhola Hydropower Company Limited,86297367.10,365.00
10,KBL,Kumari Bank Limited,58002389.60,221.00
11,SGHC,Swet-Ganga Hydropower & Construction Limited,55227421.30,324.80
12,SAPDBL,Saptakoshi Development Bank Limited,54668810.20,828.00
13,SMHL,Super Madi Hydropower Limited,54446609.80,498.00
14,NGPL,Ngadi Group Power Limited,54007317.80,409.90
15,MFIL,Manjushree Finance Limited,50906774.60,791.80
