rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,298015525.61,428950054.64,726965580.25,-130934529.02999997,57511005.80
2,34,Vision Securities Pvt.Limited,150023216.60,219361504.24,369384720.84,-69338287.64000002,7994194.40
3,49,Online Securities Limited,172334580.20,133445713.30,305780293.50,38888866.89999999,38750851.80
4,42,Sani Securities Company Limited,122968047.20,138077815.20,261045862.40,-15109767.999999985,28007464.80
5,88,Blue Chip Securities Ltd,130000044.60,110760750.00,240760794.60,19239294.599999994,77324261.60
6,77,Nabil Stock Dealer Limited,93736990.80,113222674.40,206959665.20,-19485683.60000001,918861.20
7,44,Dynamic Money Managers Securities Pvt.Ltd,117226298.20,88914294.90,206140593.10,28312003.299999997,31784122.60
8,48,Trishakti Securities Public Limited,104629710.80,100026159.90,204655870.70,4603550.899999991,5754472.80
9,45,Imperial Securities Co .Pvt.Limited,104305555.90,96840791.80,201146347.70,7464764.100000009,4608973.20
10,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,57801114.25,141025716.30,198826830.55,-83224602.05000001,4283408.80
11,92,Roadshow securities limited,140270153.50,31079731.20,171349884.70,109190422.3,0.00
12,39,Sumeru Securities Pvt.Limited,98713703.58,68358918.00,167072621.58,30354785.58,6209280.80
13,57,Arya Tara Investment And Securities Pvt. Ltd.,86970876.81,79967813.40,166938690.21,7003063.409999996,3300803.20
14,17,ABC Securities Pvt. Limited,76369395.49,82345073.20,158714468.69,-5975677.710000008,6175542.80
15,60,Nagarik Stock Dealer Company Ltd.,78017352.00,79899519.00,157916871.00,-1882167.0,10804766.60
