rank,symbol,company_name,turnover,ltp
1,AKJCL,Ankhukhola Hydropower Company Limited,222397638.60,363.00
2,CORBL,Corporate Development Bank Limited,177369790.90,1530.00
3,RSML,Reliance Spinning Mills Limited,156008817.40,3200.00
4,RIDI,Ridi Power Company Limited,153644160.10,349.50
5,NGPL,Ngadi Group Power Limited,148592066.60,418.20
6,NRN,NRN Infrastructure and Development Limited,117889287.70,1462.60
7,NHPC,National Hydro Power Company Limited,111691344.30,269.00
8,MFIL,Manjushree Finance Limited,92570180.40,800.00
9,KBL,Kumari Bank Limited,80199144.30,220.00
10,CITY,City Hotel Limited,79762662.20,382.00
11,CFCL,Central Finance Limited,77658529.60,631.60
12,UMHL,United Modi Hydropower Limited,74773917.30,591.00
13,SYPNL,SY Panel Nepal Limited,74239187.40,1338.00
14,API,Api Power Company Limited,72232677.80,339.90
15,SHIVM,Shivam Cements Limited,69789604.80,652.00
