rank,symbol,company_name,close,change,change_percent
1,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,6120.00,-1080.00,-15.00
2,HEIP,Himalayan Everest Insurance Limited Promoter,342.00,-36.00,-9.52
3,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,785.00,-75.00,-8.72
4,RBBF40,RBB Focus 40,9.38,-0.61,-6.11
5,RBCLPO,Rastriya Beema Company Limited Promoter Share,12100.00,-728.00,-5.68
6,NMBHF2,NMB Hybrid Fund L-II,9.56,-0.57,-5.63
7,CORBL,Corporate Development Bank Limited,1530.00,-66.50,-4.17
8,KBLD89,11% KBL Debenture 2089,1260.00,-54.00,-4.11
9,MKHL,Mai Khola Hydropower Limited,518.90,-21.10,-3.91
10,CKHL,Chirkhwa Hydro Power Limited,614.00,-24.00,-3.76
11,EBLD86,8.5% Everest Bank Debenture,1091.30,-33.70,-3.00
12,SBLD89,10.75 % SBL Debenture 2089,1261.00,-39.00,-3.00
13,SIGS2,Siddhartha Investment Growth Scheme-2,10.67,-0.33,-3.00
14,ADBLD83,10.35% Agricultural Bank Debenture 2083,1062.20,-32.80,-3.00
15,MLBLD89,11% Mahalaxmi Debenture 2089,1280.40,-39.60,-3.00
