rank,symbol,company_name,close,change,change_percent
1,SAIL,Shreenagar Agritech Industries Limited,963.70,125.70,15.00
2,SKHEL,Suryakunda Hydro Electric Limited,1004.00,129.70,14.83
3,RLEL,Ridge Line Energy Limited,799.00,86.00,12.06
4,MSHL,Mid Solu Hydropower Company Limited,660.00,71.00,12.05
5,SIPD,Shikhar Power Development Limited,626.00,67.10,12.01
6,CITY,City Hotel Limited,382.00,40.90,11.99
7,TSHL,Three Star Hydropower Limited,405.00,40.00,10.96
8,BJHL,Bhujung Hydropower Limited,754.00,73.00,10.72
9,NHPC,National Hydro Power Company Limited,269.00,26.00,10.70
10,HIMSTAR,Him Star Urja Company Limited,714.00,65.50,10.10
11,UAIL,United Ajod Insurance Limited,475.90,42.90,9.91
12,PCIL,Palpa Cements Industries Limited,652.00,57.00,9.58
13,JHAPA,Jhapa Energy Limited,1111.00,96.00,9.46
14,MABEL,Mabilung Energy Limited,602.00,50.00,9.06
15,KHPL,Kalinchowk Hydropower Limited,998.00,82.00,8.95
