rank,symbol,company_name,turnover,ltp
1,RIDI,Ridi Power Company Limited,423080031.20,386.00
2,NRN,NRN Infrastructure and Development Limited,281062338.60,1519.90
3,RSML,Reliance Spinning Mills Limited,263235757.10,3681.00
4,AKJCL,Ankhukhola Hydropower Company Limited,232015807.70,388.00
5,NHPC,National Hydro Power Company Limited,159769607.60,285.40
6,BFC,Best Finance Company Limited,158039510.50,535.10
7,CITY,City Hotel Limited,156117622.80,390.00
8,CORBL,Corporate Development Bank Limited,112327498.80,1439.00
9,SYPNL,SY Panel Nepal Limited,98090710.30,1408.90
10,HRL,Himalayan Reinsurance Limited,97303435.60,636.20
11,MEN,Mountain Energy Nepal Limited,96233473.50,595.00
12,SAIL,Shreenagar Agritech Industries Limited,93925791.20,1083.80
13,RADHI,Radhi Bidyut Company Limited,86242604.80,745.10
14,API,Api Power Company Limited,78654235.60,343.50
15,SHIVM,Shivam Cements Limited,74083985.10,656.00
