rank,broker_code,broker_name,purchase_amount,sales_amount,total_amount,difference,matching_amount
1,58,Naasa Securities Co. Ltd.,455608701.68,381626564.30,837235265.98,73982137.38,81380077.60
2,34,Vision Securities Pvt.Limited,149931082.95,191031327.70,340962410.65,-41100244.75,16302964.20
3,49,Online Securities Limited,166943933.60,169525352.05,336469285.65,-2581418.450000018,16020530.40
4,42,Sani Securities Company Limited,133530905.80,184357061.20,317887967.00,-50826155.39999999,8652688.20
5,45,Imperial Securities Co .Pvt.Limited,167882086.20,135946405.40,303828491.60,31935680.799999982,7270182.00
6,44,Dynamic Money Managers Securities Pvt.Ltd,112507913.30,176305277.90,288813191.20,-63797364.60000001,26179661.80
7,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,127083779.60,157977884.40,285061664.00,-30894104.800000012,6793177.80
8,48,Trishakti Securities Public Limited,133027208.60,149194588.10,282221796.70,-16167379.5,9430782.00
9,57,Arya Tara Investment And Securities Pvt. Ltd.,132338888.30,131573208.72,263912097.02,765679.5799999982,5946181.80
10,17,ABC Securities Pvt. Limited,148331539.40,94978999.30,243310538.70,53352540.10000001,5772481.80
11,74,KALASH STOCK MARKET PVT. LTD.,93608147.60,125190694.50,218798842.10,-31582546.900000006,4294451.60
12,41,Linch Stock Market Limited,93815309.10,100605971.30,194421280.40,-6790662.200000003,1364890.20
13,4,Stock Broker Opal Securities Investment Pvt. Limited,112229417.05,79230140.40,191459557.45,32999276.64999999,37345541.00
14,77,Nabil Stock Dealer Limited,113568051.40,76214513.80,189782565.20,37353537.60000001,7544600.00
15,32,Premier Securites Company Limited,104637100.20,79034035.70,183671135.90,25603064.5,3618605.00
