rank,symbol,company_name,volume,ltp
1,RIDI,Ridi Power Company Limited,1107447.00,386.00
2,AKJCL,Ankhukhola Hydropower Company Limited,599402.00,388.00
3,NHPC,National Hydro Power Company Limited,559326.00,285.40
4,CITY,City Hotel Limited,399404.00,390.00
5,RMF1,RBB Mutual Fund 1,335310.00,9.67
6,BFC,Best Finance Company Limited,289485.00,535.10
7,API,Api Power Company Limited,229342.00,343.50
8,KBL,Kumari Bank Limited,208940.00,219.00
9,NRN,NRN Infrastructure and Development Limited,185785.00,1519.90
10,HDHPC,Himal Dolakha Hydropower Company Limited,181769.00,221.00
11,NGPL,Ngadi Group Power Limited,167493.00,423.40
12,MEN,Mountain Energy Nepal Limited,161649.00,595.00
13,HRL,Himalayan Reinsurance Limited,151511.00,636.20
14,LSL,Laxmi Sunrise Bank Limited,138502.00,225.00
15,GBIME,Global IME Bank Limited,136705.00,247.20
