rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,3386,528.00
2,RIDI,Ridi Power Company Limited,2292,386.00
3,KAHL,Kalanga Hydro Limited,2039,560.00
4,CITY,City Hotel Limited,1489,390.00
5,BFC,Best Finance Company Limited,1267,535.10
6,AKJCL,Ankhukhola Hydropower Company Limited,1242,388.00
7,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,1224,565.00
8,NHPC,National Hydro Power Company Limited,1117,285.40
9,HRL,Himalayan Reinsurance Limited,1088,636.20
10,CORBL,Corporate Development Bank Limited,1051,1439.00
11,SOPL,Sopan Pharmaceuticals Limited,1023,842.10
12,RSML,Reliance Spinning Mills Limited,939,3681.00
13,NRN,NRN Infrastructure and Development Limited,931,1519.90
14,YMHL,Yambaling Hydropower Limited,860,633.30
15,SAIL,Shreenagar Agritech Industries Limited,849,1083.80
