Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,719.46","2,722.58","2,694.54","2,712.54",-13.95,-0.51,"5,187,467,073.77"
Sensitive Index,471.77,473.24,467.94,470.31,-2.10,-0.44,"1,831,204,050.15"
Float Index,186.11,186.60,184.77,185.85,-0.77,-0.41,"5,145,771,935.45"
Sensitive Float Index,159.76,160.40,158.65,159.43,-0.58,-0.36,"1,831,204,050.15"
Banking SubIndex,"1,470.24","1,474.53","1,458.42","1,466.14",-4.10,-0.27,"346,914,096.10"
Development Bank Index,"5,726.63","5,757.86","5,707.85","5,741.82",-13.86,-0.24,"307,200,611.00"
Finance Index,"2,429.12","2,484.37","2,429.12","2,463.68",12.17,0.49,"371,007,101.20"
Hotels And Tourism,"7,424.05","7,482.14","7,382.05","7,436.49",-23.59,-0.31,"213,518,331.20"
HydroPower Index,"3,775.37","3,794.47","3,749.57","3,778.85",-21.91,-0.57,"2,361,713,586.45"
Investment,100.74,101.30,99.59,100.59,-0.50,-0.50,"348,160,941.60"
Life Insurance,"12,271.63","12,343.25","12,195.89","12,274.93",-80.01,-0.64,"78,199,271.10"
Manufacturing And Processing,"10,925.25","11,079.31","10,897.62","11,076.44",50.57,0.45,"707,367,283.20"
Microfinance Index,"4,711.56","4,718.82","4,656.87","4,692.29",-19.85,-0.42,"139,261,864.00"
Mutual Fund,21.56,21.57,21.41,21.54,-0.01,-0.07,"8,913,725.12"
Non Life Insurance,"11,075.86","11,075.86","10,868.98","10,935.25",-140.61,-1.26,"72,295,382.70"
Others Index,"2,047.95","2,047.95","1,996.34","2,010.09",-19.96,-0.98,"191,431,595.90"
Trading Index,"3,464.43","3,468.44","3,364.96","3,374.15",-90.27,-2.60,"8,701,871.00"
