label,value
Total Turnovers (Rs.),"5,187,467,073.77"
Total Traded Shares,"11,362,465"
Total Transaction,"56,094"
Total Scrips Traded,346
Total Market Cap (Rs.),"4,661,693.42 Millions"
Floated Market Cap (Rs.),"1,570,327.72 Millions"
