label,value
Total Turnovers (Rs.),"3,831,584,423.16"
Total Traded Shares,"9,298,094"
Total Transaction,"50,844"
Total Scrips Traded,352
Total Market Cap (Rs.),"4,404,989.05 Millions"
Floated Market Cap (Rs.),"1,485,505.72 Millions"
