rank,symbol,company_name,turnover,ltp
1,RSML,Reliance Spinning Mills Limited,252166122.50,2940.00
2,GBBL,Garima Bikas Bank Limited,178811388.40,447.00
3,SOHL,Solu Hydropower Limited,162707708.20,654.00
4,SYPNL,SY Panel Nepal Limited,134435209.60,1344.00
5,SMHL,Super Madi Hydropower Limited,101973906.40,527.00
6,SHIVM,Shivam Cements Limited,85396612.60,664.20
7,RIDI,Ridi Power Company Limited,80798176.00,347.70
8,NABIL,Nabil Bank Limited,69700456.00,552.50
9,SBL,Siddhartha Bank Limited,64990176.70,421.50
10,SAIL,Shreenagar Agritech Industries Limited,61447344.80,1056.20
11,EDBL,Excel Development Bank Limited,60354213.10,575.00
12,API,Api Power Company Limited,56724828.90,329.00
13,TAMOR,Sanima Middle Tamor Hydropower Limited,56343568.50,497.10
14,NRN,NRN Infrastructure and Development Limited,56200493.20,1400.00
15,CFCL,Central Finance Limited,54067493.00,595.00
