Index,Open,High,Low,Close,Point Change,% Change,Turnover
NEPSE Index,"2,558.99","2,566.31","2,542.30","2,560.84",18.07,0.71,"3,831,584,423.16"
Sensitive Index,454.69,455.07,450.57,453.96,4.46,0.99,"1,342,320,216.50"
Float Index,175.62,176.06,174.41,175.67,1.32,0.76,"3,791,544,571.60"
Sensitive Float Index,153.44,153.57,152.05,153.26,1.52,1.00,"1,342,320,216.50"
Banking SubIndex,"1,459.02","1,460.84","1,433.61","1,447.14",16.49,1.15,"437,910,502.10"
Development Bank Index,"5,425.09","5,466.20","5,402.48","5,442.15",7.42,0.13,"414,645,202.90"
Finance Index,"2,242.22","2,254.99","2,235.93","2,245.11",-9.90,-0.43,"120,864,648.60"
Hotels And Tourism,"7,062.65","7,114.40","7,043.89","7,085.70",22.14,0.31,"69,316,914.50"
HydroPower Index,"3,500.49","3,535.55","3,490.86","3,514.75",17.88,0.51,"1,528,073,246.40"
Investment,95.07,95.64,94.21,95.05,0.05,0.06,"130,820,233.90"
Life Insurance,"11,175.03","11,285.33","11,140.06","11,232.55",51.31,0.45,"58,643,070.50"
Manufacturing And Processing,"10,531.84","10,641.92","10,491.18","10,609.87",130.71,1.24,"737,686,555.10"
Microfinance Index,"4,408.61","4,434.55","4,396.32","4,428.75",26.92,0.61,"152,926,549.90"
Mutual Fund,19.55,19.70,19.38,19.69,0.13,0.71,"12,697,285.56"
Non Life Insurance,"9,290.70","9,496.61","9,290.70","9,484.94",194.23,2.09,"70,966,267.60"
Others Index,"1,812.56","1,814.12","1,793.30","1,804.04",9.02,0.50,"64,076,424.60"
Trading Index,"3,241.67","3,247.85","3,186.42","3,238.64",-3.03,-0.09,"5,614,955.50"
