rank,symbol,company_name,volume,ltp
1,GBBL,Garima Bikas Bank Limited,401185.00,447.00
2,PSF,Prabhu Select Fund,256210.00,12.28
3,GIBF1,Global IME Balanced Fund-I,254584.00,11.08
4,SOHL,Solu Hydropower Limited,246562.00,654.00
5,RIDI,Ridi Power Company Limited,232720.00,347.70
6,NIBSF2,NIBL Samriddhi Fund - 2,203610.00,8.30
7,SMHL,Super Madi Hydropower Limited,191907.00,527.00
8,API,Api Power Company Limited,172177.00,329.00
9,NHPC,National Hydro Power Company Limited,159367.00,257.00
10,KBL,Kumari Bank Limited,157430.00,215.00
11,SBL,Siddhartha Bank Limited,154937.00,421.50
12,KKHC,Khani Khola Hydropower Company Limited,153445.00,267.90
13,NBL,Nepal Bank Limited,133042.00,279.00
14,SHIVM,Shivam Cements Limited,128175.00,664.20
15,NABIL,Nabil Bank Limited,126376.00,552.50
