rank,symbol,company_name,transactions,ltp
1,SGHL,Sanigad Hydro Limited,1698,499.30
2,SAPIL,Sarvottam Paints Industries Limited,1593,1245.00
3,GBBL,Garima Bikas Bank Limited,1506,447.00
4,SYPNL,SY Panel Nepal Limited,1276,1344.00
5,SOHL,Solu Hydropower Limited,1059,654.00
6,MEPDL,Mount Everest Power Development Limited,942,644.00
7,KAHL,Kalanga Hydro Limited,893,493.00
8,RSML,Reliance Spinning Mills Limited,867,2940.00
9,NABIL,Nabil Bank Limited,866,552.50
10,SOPL,Sopan Pharmaceuticals Limited,863,738.00
11,SMHL,Super Madi Hydropower Limited,850,527.00
12,PCIL,Palpa Cements Industries Limited,816,618.20
13,MNBBL,Muktinath Bikas Bank Limited,709,346.00
14,TPKHL,Taksar Pikhuwa Khola Hydropower Limited,700,510.00
15,HRL,Himalayan Reinsurance Limited,594,516.00
